Horodateur,Question 1 : Quelle est votre tranche d'âge ?,Question 2 : Quelle langue utilisez-vous au quotidien ?,Question 3 : Vous arrive-t-il de consulter des sites internet conçus/traduits dans des langues autres que votre langue de prédilection ?,Question 3 : Quel intérêt accordez-vous à votre langue maternelle,Question 4 : Parlez-vous votre langue maternelle ?,Question 5 : Quelle est votre fréquence d'utilisation de votre langue maternelle ?,Question 6 : Seriez-vous ouvert(e)s à de nouvelles méthodes d'apprentissage de votre langue maternelle basées sur vos activités favorites ?,Question 7 : Aimeriez-vous que vos sites internet préférés possèdent également une version traduite en votre langue maternelle ? ,Question 8 : Le fait que vos sites internet préférés soient traduits en votre langue maternelle pourrait-il vous pousser à les consulter plus souvent ?,Question 9 : Avez-vous des suggestions pour promouvoir les langues maternelles dans l'univers numérique ?
16/12/2019 07:19:10,30-35 ans,Français,Oui,Faible,Oui,Rare,Oui,Oui,Non,Non
16/12/2019 07:19:31,20-25 ans,Français,Oui,Moyen,Non,Rare,Oui,Non,Non,
16/12/2019 07:29:06,25-30 ans,Français,Oui,Moyen,Oui,Quotidienne,Oui,Oui,Oui,Confectionner des dictionnaires audio et écrits 
16/12/2019 07:34:43,20-25 ans,Autre,Oui,Elevé,Oui,Quotidienne,Non,Non,Non,Non je n'ai jamais réfléchi à ça 
16/12/2019 07:46:22,25-30 ans,Français,Oui,Moyen,Non,Occasionnelle,Oui,Oui,Non,proposer des cours d’apprentissage des langues maternelles un peu comme ceux qu’on retrouve pour les langues étrangères 
16/12/2019 07:53:43,20-25 ans,Français,Oui,Faible,Non,Rare,Oui,Non,Non,Pas vraiment 
16/12/2019 07:55:37,25-30 ans,Français,Oui,Faible,Oui,Rare,Oui,Oui,Oui,
16/12/2019 08:13:46,20-25 ans,Français,Oui,Elevé,Oui,Rare,Oui,Non,Non,
16/12/2019 08:19:32,25-30 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Créer des petits scenarios 
16/12/2019 08:24:05,20-25 ans,Anglais,Oui,Elevé,Non,Nulle,Oui,Oui,Oui,
16/12/2019 08:24:13,20-25 ans,Français,Non,Moyen,Non,Rare,Oui,Oui,Oui,Création d’un dictionnaire numérique 
16/12/2019 08:24:28,25-30 ans,Français,Oui,Faible,Non,Nulle,Oui,Oui,Oui,
16/12/2019 08:27:44,15-20 ans,Français,Oui,Aucun,Non,Nulle,Non,Non,Non,
16/12/2019 08:29:34,20-25 ans,Français,Oui,Elevé,Non,Nulle,Oui,Oui,Oui,"Deux jours par semaines dédier à la langue maternelle avec des spécialistes.
"
16/12/2019 08:29:57,25-30 ans,Français,Oui,Moyen,Oui,Occasionnelle,Oui,Non,Non,
16/12/2019 08:30:22,25-30 ans,Français,Oui,Moyen,Non,Rare,Oui,Non,Non,Non
16/12/2019 08:35:59,20-25 ans,Français,Non,Elevé,Non,Nulle,Oui,Oui,Oui,
16/12/2019 08:36:30,20-25 ans,Français,Non,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Non 
16/12/2019 08:37:20,20-25 ans,Français,Non,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Non 
16/12/2019 08:41:19,25-30 ans,Français,Oui,Faible,Oui,Occasionnelle,Oui,Oui,Oui,
16/12/2019 09:00:00,25-30 ans,Français,Oui,Moyen,Non,Occasionnelle,Oui,Non,Non,
16/12/2019 09:00:16,20-25 ans,Français,Oui,Moyen,Oui,Occasionnelle,Oui,Oui,Oui,Inclure des expressions courantes sur les sites et créer des plates-formes d'apprentissage 
16/12/2019 09:02:55,20-25 ans,Français,Oui,Elevé,Non,Occasionnelle,Oui,Oui,Oui,
16/12/2019 09:55:43,25-30 ans,Français,Oui,Moyen,Non,Rare,Oui,Oui,Oui,
16/12/2019 10:13:31,Plus de 35 ans,Français,Non,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,Promouvoir son enseignement dans les écoles !
16/12/2019 10:17:00,20-25 ans,Français,Oui,Faible,Non,Nulle,Oui,Oui,Oui,
16/12/2019 10:18:42,25-30 ans,Français,Oui,Elevé,Non,Occasionnelle,Oui,Non,Non,
16/12/2019 10:20:00,20-25 ans,Français,Oui,Elevé,Non,Rare,Oui,Oui,Non,
16/12/2019 10:45:10,25-30 ans,Français,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,
16/12/2019 10:51:02,25-30 ans,Français,Oui,Elevé,Non,Occasionnelle,Oui,Oui,Oui,Non
16/12/2019 11:16:42,20-25 ans,Français,Oui,Elevé,Non,Occasionnelle,Oui,Oui,Oui,Oui... Les applications
16/12/2019 11:20:14,20-25 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Oui,Oui,"Créer des versions de sites en langues africaines, de manière à ce qu'il soit possible de passer d’une langue occidentale vers une langue africaine en un clic sur un même site. "
16/12/2019 11:54:56,20-25 ans,Français,Oui,Elevé,Oui,Quotidienne,Oui,Oui,Oui,Il vraiment bien étudier le secteur. car ça ne sera pas évident d'avoir une base de données qui comporte toutes les langues maternelles transcrites. et aussi certaines personnes parlent leur langue maternelle sans connaitre comme ça s'écrit. Il faut bien regarder tous ces aspects là. Moi je serai de voir ce projet se réaliser et convier toute ma famille à intégrer ça. 
16/12/2019 12:01:15,20-25 ans,Français,Oui,Faible,Non,Rare,Oui,Oui,Non,
16/12/2019 15:28:10,20-25 ans,Français,Oui,Elevé,Non,Occasionnelle,Oui,Oui,Oui,"Proposez des traductions en langue maternelle dans les langues maternelles notamment dans Google translate,
Intégrer les langues nationales dans les applications de traduction  "
16/12/2019 18:53:30,20-25 ans,Français,Oui,Moyen,Oui,Quotidienne,Oui,Oui,Oui,
16/12/2019 19:16:04,30-35 ans,Français,Oui,Elevé,Oui,Occasionnelle,Oui,Non,Non,
16/12/2019 19:46:18,20-25 ans,Anglais,Non,Faible,Non,Rare,Oui,Oui,Oui,La création des term-base dans nos langues maternelles 
